Cat…leg prestacions ortoprotŠtiques - Novembre 2025;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Grup - codi;Grup - descripci¢;Subgrup - codi;Subgrup - descripci¢;Categoria - codi;Categoria aparell;Tipus de producte - codi;Tipus de producte ;Import m…xim de facturaci¢ (?);Aportaci¢ usuari/a (?);Aportaci¢ CatSalut (?);·mbit de prescripci¢ de l'aparell;Indicador informe cl¡nic;Classificaci¢ de l'aparell;Edat m¡nima;Edat m…xima;Indicador de bilateralitat;Indicador validaci¢ sanit…ria;Periodicitat prescripci¢ (mesos)
0406;Productes per a la ter…pia del limfedema;040606;Peces de compressi¢ per a bra‡os, cames i altres parts del cos per a limfedemes de membres;EPL 050;M…niga per a limfedema;EPL 050H;M…niga abastant l'espatlla amb guantellet per a limfedema, a mida;213,66;30;183,66;H;N;M;--;--;S;N;6
0406;Productes per a la ter…pia del limfedema;040606;Peces de compressi¢ per a bra‡os, cames i altres parts del cos per a limfedemes de membres;EPL 050;M…niga per a limfedema;EPL 050I;M…niga abastant l'espatlla amb guantellet per a limfedema, prefabricada;174,96;30;144,96;H;N;A;--;--;S;N;6
0406;Productes per a la ter…pia del limfedema;040606;Peces de compressi¢ per a bra‡os, cames i altres parts del cos per a limfedemes de membres;EPL 050;M…niga per a limfedema;EPL 050J;M…niga abastant l'espatlla amb guant per a limfedema, a mida;298,73;30;268,73;H;N;M;--;--;S;N;6
0406;Productes per a la ter…pia del limfedema;040606;Peces de compressi¢ per a bra‡os, cames i altres parts del cos per a limfedemes de membres;EPL 060;Guant amb dits per a peu per a limfedema;EPL 060A;Guant sense protecci¢ distal per a peu per a limfedema, a mida;149,67;30;119,67;H;N;M;--;--;S;N;6
0406;Productes per a la ter…pia del limfedema;040606;Peces de compressi¢ per a bra‡os, cames i altres parts del cos per a limfedemes de membres;EPL 060;Guant amb dits per a peu per a limfedema;EPL 060B;Guant amb protecci¢ distal per a peu per a limfedema, a mida;152,14;30;122,14;H;N;M;--;--;S;N;6
0406;Productes per a la ter…pia del limfedema;040606;Peces de compressi¢ per a bra‡os, cames i altres parts del cos per a limfedemes de membres;EPL 070;Mitja per a limfedema;EPL 070A;Mitja fins al genoll per a limfedema, a mida;106,82;30;76,82;H;N;M;--;--;S;N;6
0406;Productes per a la ter…pia del limfedema;040606;Peces de compressi¢ per a bra‡os, cames i altres parts del cos per a limfedemes de membres;EPL 070;Mitja per a limfedema;EPL 070B;Mitja fins al genoll per a limfedema, prefabricada;84,44;30;54,44;H;N;A;--;--;S;N;6
0406;Productes per a la ter…pia del limfedema;040606;Peces de compressi¢ per a bra‡os, cames i altres parts del cos per a limfedemes de membres;EPL 070;Mitja per a limfedema;EPL 070C;Mitja sencera per a limfedema, a mida;165,44;30;135,44;H;N;M;--;--;S;N;6
0406;Productes per a la ter…pia del limfedema;040606;Peces de compressi¢ per a bra‡os, cames i altres parts del cos per a limfedemes de membres;EPL 070;Mitja per a limfedema;EPL 070D;Mitja sencera per a limfedema, prefabricada;109,14;30;79,14;H;N;A;--;--;S;N;6
0406;Productes per a la ter…pia del limfedema;040606;Peces de compressi¢ per a bra‡os, cames i altres parts del cos per a limfedemes de membres;EPL 070;Mitja per a limfedema;EPL 070E;Mitja sencera amb subjecci¢ a la cintura per a limfedema, a mida;173,03;30;143,03;H;N;M;--;--;S;N;6
0406;Productes per a la ter…pia del limfedema;040606;Peces de compressi¢ per a bra‡os, cames i altres parts del cos per a limfedemes de membres;EPL 080;Pantis per a limfedema;EPL 080A;Pantis d'una extremitat per a limfedema, a mida;282,15;30;252,15;H;N;M;--;--;S;N;6
0406;Productes per a la ter…pia del limfedema;040606;Peces de compressi¢ per a bra‡os, cames i altres parts del cos per a limfedemes de membres;EPL 080;Pantis per a limfedema;EPL 080B;Pantis d'una extremitat per a limfedema, prefabricat;246,63;30;216,63;H;N;A;--;--;S;N;6
0406;Productes per a la ter…pia del limfedema;040606;Peces de compressi¢ per a bra‡os, cames i altres parts del cos per a limfedemes de membres;EPL 080;Pantis per a limfedema;EPL 080C;Pantis (de dues cames) per a limfedema, a mida;353,67;30;323,67;H;N;M;--;--;S;N;6
0406;Productes per a la ter…pia del limfedema;040606;Peces de compressi¢ per a bra‡os, cames i altres parts del cos per a limfedemes de membres;EPL 080;Pantis per a limfedema;EPL 080D;Pantis (de dues cames) per a limfedema, prefabricat;319,06;30;289,06;H;N;A;--;--;S;N;6
0406;Productes per a la ter…pia del limfedema;040606;Peces de compressi¢ per a bra‡os, cames i altres parts del cos per a limfedemes de membres;EPL 090;Pantalons per a limfedema;EPL 090A;Pantalons de camal curt per a limfedema, a mida;251,82;30;221,82;H;N;M;--;--;S;N;6
0406;Productes per a la ter…pia del limfedema;040606;Peces de compressi¢ per a bra‡os, cames i altres parts del cos per a limfedemes de membres;EPL 090;Pantalons per a limfedema;EPL 090B;Pantalons per a limfedema, a mida;309,79;30;279,79;H;N;M;--;--;S;N;6
0406;Productes per a la ter…pia del limfedema;040606;Peces de compressi¢ per a bra‡os, cames i altres parts del cos per a limfedemes de membres;EPL 100;Pe‡a autoajustable per a limfedema de membre superior;EPL 100A;Guantellet autoajustable de baixa elasticitat o inel…stic, prefabricat;52,89;30;22,89;H;N;A;--;--;S;N;12
0406;Productes per a la ter…pia del limfedema;040606;Peces de compressi¢ per a bra‡os, cames i altres parts del cos per a limfedemes de membres;EPL 100;Pe‡a autoajustable per a limfedema de membre superior;EPL 100B;Guant autoajustable de baixa elasticitat o inel…stic, a mida;143,29;30;113,29;H;N;M;--;--;S;N;12
0406;Productes per a la ter…pia del limfedema;040606;Peces de compressi¢ per a bra‡os, cames i altres parts del cos per a limfedemes de membres;EPL 100;Pe‡a autoajustable per a limfedema de membre superior;EPL 100C;Pe‡a per a bra‡ autoajustable de baixa elasticitat o inel…stica, a mida;298,62;30;268,62;H;N;M;--;--;S;N;12
0406;Productes per a la ter…pia del limfedema;040606;Peces de compressi¢ per a bra‡os, cames i altres parts del cos per a limfedemes de membres;EPL 100;Pe‡a autoajustable per a limfedema de membre superior;EPL 100D;Pe‡a per a bra‡ autoajustable de baixa elasticitat o inel…stica, prefabricada;159,85;30;129,85;H;N;A;--;--;S;N;12
